date,home_team,away_team,home_score,away_score,
20/11/2018,França,Uruguai,1,0,
20/11/2018,Tunísia,Marrocos,0,1,
19/11/2018,Alemanha,Holanda,2,2,
18/11/2018,Suíça,Bélgica,5,2,
18/11/2018,Inglaterra,Croácia,2,1,
17/11/2018,Austrália,Coreia do Sul,1,1,
16/11/2018,Holanda,França,2,0,
16/11/2018,País de Gales,Dinamarca,1,2,
16/11/2018,Argentina,México,2,0,
16/11/2018,Brasil,Uruguai,1,0,
16/11/2018,Marrocos,Camarões,2,0,
15/11/2018,Croácia,Espanha,3,2,
15/11/2018,Inglaterra,Estados Unidos,3,0,
14/11/2018,Suíça,Catar,0,1,
16/10/2018,França,Alemanha,2,1,
16/10/2018,Bélgica,Holanda,1,1,
16/10/2018,Japão,Uruguai,4,3,
16/10/2018,Argentina,Brasil,0,1,
15/10/2018,Espanha,Inglaterra,2,3,
13/10/2018,Holanda,Alemanha,3,0,
12/10/2018,Bélgica,Suíça,2,1,
12/10/2018,Croácia,Inglaterra,0,0,
12/10/2018,Coreia do Sul,Uruguai,2,1,
12/10/2018,Catar,Equador,4,3,
12/10/2018,Arábia Saudita,Brasil,0,2,
11/10/2018,Polônia,Portugal,2,3,
11/10/2018,México,Costa Rica,3,2,
11/10/2018,País de Gales,Espanha,1,4,
11/09/2018,Espanha,Croácia,6,0,
11/09/2018,Inglaterra,Suíça,1,0,
11/09/2018,Japão,Costa Rica,3,0,
11/09/2018,Estados Unidos,México,1,0,
09/09/2018,França,Holanda,2,1,
09/09/2018,Dinamarca,País de Gales,2,0,
08/09/2018,Inglaterra,Espanha,1,2,
07/09/2018,Coreia do Sul,Costa Rica,2,0,
07/09/2018,México,Uruguai,1,4,
07/09/2018,Estados Unidos,Brasil,0,2,
06/09/2018,Alemanha,França,0,0,
06/09/2018,Portugal,Croácia,1,1,
15/07/2018,França,Croácia,4,2,
14/07/2018,Bélgica,Inglaterra,2,0,
11/07/2018,Croácia,Inglaterra,2,1,
10/07/2018,França,Bélgica,1,0,
06/07/2018,Uruguai,França,0,2,
06/07/2018,Brasil,Bélgica,1,2,
02/07/2018,Brasil,México,2,0,
02/07/2018,Bélgica,Japão,3,2,
01/07/2018,Croácia,Dinamarca,1,1,
30/06/2018,França,Argentina,4,3,
30/06/2018,Uruguai,Portugal,2,1,
28/06/2018,Japão,Polônia,0,1,
28/06/2018,Inglaterra,Bélgica,0,1,
27/06/2018,Coreia do Sul,Alemanha,2,0,
27/06/2018,Sérvia,Brasil,0,2,
27/06/2018,Suíça,Costa Rica,2,2,
26/06/2018,Dinamarca,França,0,0,
25/06/2018,Espanha,Marrocos,2,2,
25/06/2018,Irã,Portugal,1,1,
